#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
gtfo_milk_colloid                                 ([no block])                                                                     = Milk Colloid
gtfo_ice_cream_mixture                            ([no block])                                                                     = Ice Cream Mixture
gtfo_guaiacol                                     ([no block])                                                                     = Guaiacol
gtfo_acetaldehyde                                 ([no block])                                                                     = Acetaldehyde
gtfo_glyoxal                                      ([no block])                                                                     = Glyoxal
gtfo_glyoxylic_acid                               ([no block])                                                                     = Glyoxylic Acid
gtfo_melon_extract                                ([no block])                                                                     = Melon Extract
gtfo_molten_unsweetened_chocolate                 ([no block])                                                                     = Molten Unsweetened Chocolate
gtfo_cocoa_butter                                 ([no block])                                                                     = Cocoa Butter
gtfo_molten_dark_chocolate                        ([no block])                                                                     = Molten Dark Chocolate
gtfo_molten_milk_chocolate                        ([no block])                                                                     = Molten Milk Chocolate
gtfo_sodium_arsenite_solution                     ([no block])                                                                     = Sodium Arsenite Solution
gtfo_rubber_sap                                   ([no block])                                                                     = Rubber Sap
gtfo_rainbow_sap                                  ([no block])                                                                     = Rainbow Sap
gtfo_blue_vitriol                                 ([no block])                                                                     = Blue Vitriol
gtfo_baking_soda_solution                         ([no block])                                                                     = Baking Soda Solution
gtfo_beer_batter                                  ([no block])                                                                     = Beer Batter
gtfo_wheaty_juice                                 ([no block])                                                                     = Wheaty Juice
gtfo_poor_quality_beer                            ([no block])                                                                     = Poor-Quality Beer
gtfo_blood                                        ([no block])                                                                     = Blood
gtfo_fertilizer_solution                          ([no block])                                                                     = Fertilizer Solution
gtfo_nilk                                         ([no block])                                                                     = Nilk
gtfo_hfcs_solution                                ([no block])                                                                     = High Fructose Corn Syrup Solution
gtfo_x_phenothiazine_ii_propyl_chloride           ([no block])                                                                     = 10-Phenothiazine-2-propyl chloride
gtfo_apple_syrup                                  ([no block])                                                                     = Apple Syrup
gtfo_apple_candy_syrup                            ([no block])                                                                     = Apple Candy Syrup
gtfo_etirps                                       ([no block])                                                                     = Etirps™
gtfo_lemon_lime_soda_syrup                        ([no block])                                                                     = Lemon-Lime Soda Syrup
gtfo_carbonated_water                             ([no block])                                                                     = Carbonated Water
gtfo_cough_syrup                                  ([no block])                                                                     = Cough Syrup
gtfo_lemon_lime_solution                          ([no block])                                                                     = Lemon-Lime Solution
gtfo_lemon_lime_sludge                            ([no block])                                                                     = Lemon-Lime Sludge
gtfo_aniline                                      ([no block])                                                                     = Aniline
gtfo_heated_water                                 ([no block])                                                                     = Heated Water
gtfo_gelatin_solution                             ([no block])                                                                     = Gelatin Solution
gtfo_acetic_anhydride                             ([no block])                                                                     = Acetic Anhydride
gtfo_nitrophenols                                 ([no block])                                                                     = Nitrophenols
gtfo_egg                                          ([no block])                                                                     = Egg
gtfo_unpasteurized_skimmed_milk                   ([no block])                                                                     = Unpasteurized Skimmed Milk
gtfo_parmigiano_reggiano_starter                  ([no block])                                                                     = Parmigiano-Reggiano Starter
gtfo_curdling_parmigiano_reggiano                 ([no block])                                                                     = Curdling Parmigiano-Reggiano
gtfo_agrodolce                                    ([no block])                                                                     = Agrodolce Sauce
gtfo_polenta                                      ([no block])                                                                     = Polenta
gtfo_pesto                                        ([no block])                                                                     = Pesto
gtfo_bechamel_sauce                               ([no block])                                                                     = Bechamel Sauce
gtfo_chicken_broth                                ([no block])                                                                     = Chicken Broth
gtfo_vitello_tonnato_sauce                        ([no block])                                                                     = Vitello Tonnato Sauce
gtfo_white_wine                                   ([no block])                                                                     = White Wine
gtfo_macerated_white_grapes                       ([no block])                                                                     = Macerated White Grapes
gtfo_pressed_white_wort                           ([no block])                                                                     = Pressed White Wort
gtfo_clarified_white_wort                         ([no block])                                                                     = Clarified White Wort
gtfo_vitello_tonnato_flavorant                    ([no block])                                                                     = Vitello Tonnato Flavorant
gtfo_rafanata_mixture                             ([no block])                                                                     = Rafanata Mixture
gtfo_carbonara_sauce                              ([no block])                                                                     = Carbonara Sauce
gtfo_pasta_e_fagioli_base                         ([no block])                                                                     = Pasta e fagioli Base
gtfo_mixed_pasta_e_fagioli                        ([no block])                                                                     = Mixed Pasta e fagioli
gtfo_red_grapes_must                              ([no block])                                                                     = Red Grapes Must
gtfo_fermented_red_grapes_must                    ([no block])                                                                     = Fermented Red Grapes Must
gtfo_alcoholic_red_grape_juice                    ([no block])                                                                     = Alcoholic Red Grape Juice
gtfo_red_wine                                     ([no block])                                                                     = Red Wine
gtfo_bolognese_sauce                              ([no block])                                                                     = Bolognese Sauce
gtfo_tomato_bolognese_sauce                       ([no block])                                                                     = Tomato Bolognese Sauce
gtfo_cranberry_extract                            ([no block])                                                                     = Cranberry Extract
gtfo_etirps_cranberry                             ([no block])                                                                     = Etirps Cranberry
gtfo_cranberry_sludge                             ([no block])                                                                     = Cranberry Sludge
gtfo_cranberry_soda_syrup                         ([no block])                                                                     = Cranberry Soda Syrup
gtfo_lingonberry_jam                              ([no block])                                                                     = Lingonberry Jam
gtfo_elderberry_jam                               ([no block])                                                                     = Elderberry Jam
gtfo_sour_cream                                   ([no block])                                                                     = Sour Cream
gtfo_lactic_acid_bacteria                         ([no block])                                                                     = Lactic Acid Bacteria
gtfo_fungal_rennet_solution                       ([no block])                                                                     = Fungal Rennet Solution
gtfo_ender_pearl_solution                         ([no block])                                                                     = Ender Pearl Solution
gtfo_ender_sugar_solution                         ([no block])                                                                     = Ender Sugar Solution
gtfo_chorus_juice                                 ([no block])                                                                     = Chorus Juice
gtfo_fermented_chorus_juice                       ([no block])                                                                     = Fermented Chorus Juice
gtfo_antaf                                        ([no block])                                                                     = Antaf
gtfo_vibrant_extract                              ([no block])                                                                     = Vibrant Extract
gtfo_apricot_extract                              ([no block])                                                                     = Apricot Extract
gtfo_grape_extract                                ([no block])                                                                     = Grape Extract
gtfo_sweetened_diluted_cane_syrup_mixture         ([no block])                                                                     = Sweetened Diluted Cane Syrup Mixture
gtfo_marshmallow_syrup_mixture                    ([no block])                                                                     = Marshmallow Syrup Mixture
gtfo_marshmallow_foam                             ([no block])                                                                     = Marshmallow Foam
gtfo_sodium_carbonate_solution                    ([no block])                                                                     = Sodium Carbonate Solution
gtfo_coffee                                       ([no block])                                                                     = Coffee
gtfo_energized_coffee                             ([no block])                                                                     = Energizing Coffee
molten.nm_hea_nps                                 ([no block])                                                                     = Molten Noble-Metal High-Entropy-Alloy Nanoparticles
nm_hea_nps                                        ([no block])                                                                     = Liquid Noble-Metal High-Entropy-Alloy Nanoparticles
naquadah_rocket_fuel                              ([no block])                                                                     = Naquadah Rocket Fuel
molten.electrical_steel                           ([no block])                                                                     = Molten Electrical Steel
electrical_steel                                  ([no block])                                                                     = Liquid Electrical Steel
molten.redstone_alloy                             ([no block])                                                                     = Molten Redstone Alloy
redstone_alloy                                    ([no block])                                                                     = Liquid Redstone Alloy
conductive_iron                                   ([no block])                                                                     = Liquid Conductive Iron
molten.pulsating_iron                             ([no block])                                                                     = Molten Pulsating Iron
pulsating_iron                                    ([no block])                                                                     = Liquid Pulsating Iron
molten.dark_steel                                 ([no block])                                                                     = Molten Dark Steel
dark_steel                                        ([no block])                                                                     = Liquid Dark Steel
molten.soularium                                  ([no block])                                                                     = Molten Soularium
soularium                                         ([no block])                                                                     = Liquid Soularium
molten.end_steel                                  ([no block])                                                                     = Molten End Steel
end_steel                                         ([no block])                                                                     = Liquid End Steel
construction_alloy                                ([no block])                                                                     = Liquid Iron Alloy
molten.crystalline_alloy                          ([no block])                                                                     = Molten Crystalline Alloy
crystalline_alloy                                 ([no block])                                                                     = Liquid Crystalline Alloy
molten.melodic_alloy                              ([no block])                                                                     = Molten Melodic Alloy
melodic_alloy                                     ([no block])                                                                     = Liquid Melodic Alloy
molten.stellar_alloy                              ([no block])                                                                     = Molten Stellar Alloy
stellar_alloy                                     ([no block])                                                                     = Liquid Stellar Alloy
molten.crystalline_pink_slime                     ([no block])                                                                     = Molten Crystalline Pink Slime
crystalline_pink_slime                            ([no block])                                                                     = Liquid Crystalline Pink Slime
molten.energetic_silver                           ([no block])                                                                     = Molten Energetic Silver
energetic_silver                                  ([no block])                                                                     = Liquid Energetic Silver
molten.vivid_alloy                                ([no block])                                                                     = Molten Vivid Alloy
vivid_alloy                                       ([no block])                                                                     = Liquid Vivid Alloy
charged_certus_quartz                             ([no block])                                                                     = Liquid Charged Certus Quartz
fluix                                             ([no block])                                                                     = Liquid Fluix
molten.fluix_alloy                                ([no block])                                                                     = Molten Fluix Alloy
fluix_alloy                                       ([no block])                                                                     = Liquid Fluix Alloy
molten.pyrotheum                                  ([no block])                                                                     = Molten Pyrotheum
molten.draconium                                  ([no block])                                                                     = Molten Draconium
draconium                                         ([no block])                                                                     = Liquid Draconium
awakened_draconium                                ([no block])                                                                     = Liquid Awakened Draconium
infinity                                          ([no block])                                                                     = Liquid Infinity
thaumium                                          ([no block])                                                                     = Liquid Thaumium
void_metal                                        ([no block])                                                                     = Liquid Void Metal
void_essence                                      ([no block])                                                                     = Essence of the Void Gas
light_essence                                     ([no block])                                                                     = Essence of Light Gas
experience_essence                                ([no block])                                                                     = Essence of Experience Gas
existence_essence                                 ([no block])                                                                     = Essence of Existence Gas
disruption_essence                                ([no block])                                                                     = Essence of Disruption Gas
stability_essence                                 ([no block])                                                                     = Essence of Stability Gas
chaos_essence                                     ([no block])                                                                     = Essence of Chaos Gas
order_essence                                     ([no block])                                                                     = Essence of Order Gas
reality_essence                                   ([no block])                                                                     = Essence of Reality Gas
reduced_trinium                                   ([no block])                                                                     = Liquid Reduced Trinium
hps                                               ([no block])                                                                     = High Pressure Steam
preheated_water                                   ([no block])                                                                     = Preheated Water
charged_ender                                     ([no block])                                                                     = Charged Ender
fire_enhancer                                     ([no block])                                                                     = Flame Enhancer Gas
raw_vapor_seed                                    ([no block])                                                                     = Vaporous Seed Gas
vapor_seed                                        ([no block])                                                                     = Primed Vaporous Seed
molten.naquadric_alloy                            ([no block])                                                                     = Molten Naquadric Alloy
naquadric_alloy                                   ([no block])                                                                     = Liquid Naquadric Alloy
molten.unstable_naquadah_alloy                    ([no block])                                                                     = Molten Unstable Naquadah Alloy
unstable_naquadah_alloy                           ([no block])                                                                     = Liquid Unstable Naquadah Alloy
concentrated_effort                               ([no block])                                                                     = Concentrated Effort
frozen_starlight                                  ([no block])                                                                     = Frozen Starlight
infinitesimality                                  ([no block])                                                                     = Infinitesimality
void_starlight                                    (gtcefucontent:fluid.void_starlight.block)                                       = Light of the Void's Stars
molten.titanium_pressure_alloy                    ([no block])                                                                     = Molten Titanium Pressure Alloy
titanium_pressure_alloy                           ([no block])                                                                     = Liquid Titanium Pressure Alloy
fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
fiery_essence                                     (twilightforest:fiery_essence)                                                   = Fiery Essence
fluidedmana                                       (extrabotany:fluidedmana)                                                        = Fluided Mana
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
liquiddna                                         (gendustry:liquiddna)                                                            = Liquid DNA
protein                                           (gendustry:protein)                                                              = Protein
spentsteam                                        ([no block])                                                                     = Low-Pressure Steam
hotsteam                                          ([no block])                                                                     = Dense Steam
superhotsteam                                     ([no block])                                                                     = Super Dense Steam
ultrahotsteam                                     ([no block])                                                                     = Ultra Dense Steam
coolant                                           ([no block])                                                                     = Coolant
hotcoolant                                        ([no block])                                                                     = Hot Coolant
hotoil                                            ([no block])                                                                     = Hot Crude Oil
crackoil                                          ([no block])                                                                     = Cracked Oil
hotcrackoil                                       ([no block])                                                                     = Hot Cracked Oil
heavyoil                                          ([no block])                                                                     = Heavy Oil
bitumen                                           ([no block])                                                                     = Bitumen
smear                                             ([no block])                                                                     = Industrial Oil
heatingoil                                        ([no block])                                                                     = Heating Oil
reclaimed                                         ([no block])                                                                     = Reclaimed Industrial Oil
petroil                                           ([no block])                                                                     = Petroil
fracksol                                          ([no block])                                                                     = Fracking Solution
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
lightoil                                          ([no block])                                                                     = Light Oil
kerosene                                          ([no block])                                                                     = Kerosene
gas                                               ([no block])                                                                     = Natural Gas
petroleum                                         ([no block])                                                                     = Petroleum Gas
aromatics                                         ([no block])                                                                     = Aromatic Hydrocarbons
unsaturateds                                      ([no block])                                                                     = Unsaturated Hydrocarbons
biogas                                            ([no block])                                                                     = Biogas
biofuel                                           ([no block])                                                                     = Biofuel
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
fishoil                                           ([no block])                                                                     = Fish Oil
sunfloweroil                                      ([no block])                                                                     = Sunflower Seed Oil
colloid                                           ([no block])                                                                     = Colloid
nitan                                             ([no block])                                                                     = NITAN© 100 Octane Super Fuel
uf6                                               ([no block])                                                                     = Uranium Hexafluoride
puf6                                              ([no block])                                                                     = Plutonium Hexafluoride
sas3                                              ([no block])                                                                     = Schrabidium Trisulfide
amat                                              ([no block])                                                                     = Antimatter
aschrab                                           ([no block])                                                                     = Antischrabidium
acid                                              ([no block])                                                                     = Hydrogen Peroxide
solvent                                           ([no block])                                                                     = Solvent
radiosolvent                                      ([no block])                                                                     = High-Performance Solvent
nitroglycerin                                     ([no block])                                                                     = Nitroglycerin
liquid_osmiridium                                 ([no block])                                                                     = Osmiridic Solution
watz                                              ([no block])                                                                     = Watz Mud
cryogel                                           ([no block])                                                                     = Cryogel
balefire                                          ([no block])                                                                     = Balefire Rocket Fuel
plasma_dt                                         ([no block])                                                                     = Deuterium-Tritium Plasma
plasma_hd                                         ([no block])                                                                     = Hydrogen-Deuterium Plasma
plasma_ht                                         ([no block])                                                                     = Hydrogen-Tritium Plasma
plasma_put                                        ([no block])                                                                     = Plutonium-Tritium Plasma
plasma_xm                                         ([no block])                                                                     = Xenon-Mercury Plasma
plasma_bf                                         ([no block])                                                                     = Balefire Plasma
ic2uu_matter                                      ([no block])                                                                     = UU-Matter
pain                                              ([no block])                                                                     = Pandemonium(III)tantalite Solution
wastefluid                                        ([no block])                                                                     = Liquid Nuclear Waste
wastegas                                          ([no block])                                                                     = Gaseous Nuclear Waste
toxic_fluid                                       (hbm:toxic_block)                                                                = Sellaline
radwater_fluid                                    (hbm:radwater_block)                                                             = Radiated Water
mud_fluid                                         (hbm:mud_block)                                                                  = Oxidized Watz Mud
schrabidic                                        (hbm:schrabidic_block)                                                           = Schrabidic Acid
corium_fluid                                      (hbm:corium_block)                                                               = Corium
volcanic_lava_fluid                               (hbm:volcanic_lava_block)                                                        = Volcanic Lava
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = Menril Resin
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = Liquid Chorus
exhauststeam                                      (immersivetech:exhauststeam)                                                     = Exhaust Steam
distwater                                         (immersivetech:fluiddistwater)                                                   = Distilled Water
fluegas                                           (immersivetech:fluidfluegas)                                                     = Flue Gas
highpressuresteam                                 (immersivetech:fluidhighpressuresteam)                                           = High Pressure Steam
moltensalt                                        (immersivetech:fluidmoltensalt)                                                  = Molten Salt
moltensodium                                      (immersivetech:fluidmoltensodium)                                                = Molten Sodium
superheatedmoltensodium                           (immersivetech:fluidsuperheatedmoltensodium)                                     = Superheated Molten Sodium
infected_purlonite_water_fluid                    (moreplanets:infected_purlonite_water_fluid)                                     = Infected Purlonite Water
infected_purlonite_lava_fluid                     (moreplanets:infected_purlonite_lava_fluid)                                      = Infected Purlonite Lava
cheese_milk_fluid                                 (moreplanets:cheese_milk_fluid)                                                  = Cheese Milk
gaseous_cheese_milk                               (moreplanets:gaseous_cheese_milk)                                                = Gaseous Cheese Milk
infected_water_fluid_mp                           (moreplanets:infected_water_fluid_mp)                                            = Infected Water
helium_gas                                        (moreplanets:helium_gas)                                                         = Helium Gas
nuclear_waste_fluid                               (moreplanets:nuclear_waste_fluid)                                                = Nuclear Waste
purified_water_fluid                              (moreplanets:purified_water_fluid)                                               = Purified Water
soulium                                           (mysticalagradditions:molten_soulium)                                            = Molten Soulium
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = Molten Base Essence
inferium                                          (mysticalagradditions:molten_inferium)                                           = Molten Inferium
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = Molten Prudentium
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = Molten Intermedium
superium                                          (mysticalagradditions:molten_superium)                                           = Molten Superium
supremium                                         (mysticalagradditions:molten_supremium)                                          = Molten Supremium
boron_10                                          (nuclearcraft:fluid_boron_10)                                                    = Molten Boron-10
boron_11                                          (nuclearcraft:fluid_boron_11)                                                    = Molten Boron-11
lithium_6                                         (nuclearcraft:fluid_lithium_6)                                                   = Molten Lithium-6
lithium_7                                         (nuclearcraft:fluid_lithium_7)                                                   = Molten Lithium-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = Molten Ferroboron
tough                                             (nuclearcraft:fluid_tough)                                                       = Molten Tough Alloy
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = Molten Hard Carbon
zirconium                                         (nuclearcraft:fluid_zirconium)                                                   = Molten Zirconium
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = Molten Manganese Dioxide
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = Molten Sulfur
liquid_nitrogen                                   (nuclearcraft:fluid_liquid_nitrogen)                                             = Liquid Nitrogen
heavy_water                                       (nuclearcraft:fluid_heavy_water)                                                 = Heavy Water
lead_platinum                                     (nuclearcraft:fluid_lead_platinum)                                               = Molten Lead Platinum
plasma                                            (nuclearcraft:fluid_plasma)                                                      = Plasma
radaway                                           (nuclearcraft:fluid_radaway)                                                     = RadAway Fluid
radaway_slow                                      (nuclearcraft:fluid_radaway_slow)                                                = Slow-Acting RadAway Fluid
redstone_ethanol                                  (nuclearcraft:fluid_redstone_ethanol)                                            = Redstone-Infused Ethanol
ethene                                            (nuclearcraft:fluid_ethene)                                                      = Ethylene
fluoromethane                                     (nuclearcraft:fluid_fluoromethane)                                               = Fluoromethane
oxygen_difluoride                                 (nuclearcraft:fluid_oxygen_difluoride)                                           = Oxygen Difluoride
diborane                                          (nuclearcraft:fluid_diborane)                                                    = Diborane
boric_acid                                        (nuclearcraft:fluid_boric_acid)                                                  = Boric Acid
boron_nitride_solution                            (nuclearcraft:fluid_boron_nitride_solution)                                      = Boron Nitride Solution
fluorite_water                                    (nuclearcraft:fluid_fluorite_water)                                              = Fluorite Water
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = Calcium Sulfate Solution
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = Sodium Fluoride Solution
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = Potassium Fluoride Solution
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = Sodium Hydroxide Solution
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = Potassium Hydroxide Solution
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = Borax Solution
irradiated_borax_solution                         (nuclearcraft:fluid_irradiated_borax_solution)                                   = Irradiated Borax Solution
corium                                            (nuclearcraft:fluid_corium)                                                      = Corium
slurry_ice                                        (nuclearcraft:fluid_slurry_ice)                                                  = Slurry Ice
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = Chocolate Liquor
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = Cocoa Butter
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = Molten Unsweetened Chocolate
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = Molten Dark Chocolate
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = Molten Milk Chocolate
sugar                                             (nuclearcraft:fluid_sugar)                                                       = Molten Sugar
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = Molten Gelatin
hydrated_gelatin                                  (nuclearcraft:fluid_hydrated_gelatin)                                            = Hydrated Gelatin
marshmallow                                       (nuclearcraft:fluid_marshmallow)                                                 = Liquid Marshmallow
lif                                               (nuclearcraft:fluid_lif)                                                         = Molten Lithium Fluoride
bef2                                              (nuclearcraft:fluid_bef2)                                                        = Molten Beryllium Fluoride
flibe                                             (nuclearcraft:fluid_flibe)                                                       = Molten FLiBe Salt Mixture
naoh                                              (nuclearcraft:fluid_naoh)                                                        = Molten Sodium Hydroxide
koh                                               (nuclearcraft:fluid_koh)                                                         = Molten Potassium Hydroxide
high_pressure_steam                               (nuclearcraft:fluid_high_pressure_steam)                                         = High Pressure Steam
exhaust_steam                                     (nuclearcraft:fluid_exhaust_steam)                                               = Exhaust Steam
low_pressure_steam                                (nuclearcraft:fluid_low_pressure_steam)                                          = Low Pressure Steam
low_quality_steam                                 (nuclearcraft:fluid_low_quality_steam)                                           = Low Quality Steam
condensate_water                                  (nuclearcraft:fluid_condensate_water)                                            = Condensate Water
